corsid,state,site_name,site_code,Latitue,,,coordinates_of_sites_dms_lat,Longitude,,,coordinates_of_sites_dms_long,coordinates_of_sites_dms_elp_height,gdc_username,vendor_username
50141A001,Haryana,BHIWANI,BHIW,28,49,1.53097,28 49 1.53096655,76,8,10.53365,76 8 10.53365066,170.5964,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50142A001,Odisha,BHOGRAI,BHOG,21,39,6.52668,21 39 6.52668184038777,87,21,55.34586,87 21 55.3458578124882,-50.37027,Odisha & Chhattishgarh Geo-spatial Directorate,Hexagon
50143A001,Gujarat,BHRINDIYARA,BHRI,23,39,43.70026,23 39 43.7002568593691,69,42,27.9785,69 42 27.9785019100205,-41.41958,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50144A001,Odisha,BHUBANESWAR,BHUW,20,17,15.2976,20 17 15.2976000641351,85,43,47.18567,85 43 47.1856650197745,46.7309,Odisha & Chhattishgarh Geo-spatial Directorate,Hexagon
50145A001,Gujarat,BHUJ,BHUJ,23,14,16.595,23 14 16.5950030947223,69,39,28.0337,69 39 28.0336966151313,59.3518,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50146A001,Haryana,BHUNA,BHUN,29,32,18.36904,29 32 18.36903762,75,42,27.6361,75 42 27.6361035,173.1764,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50147A001,Madhya Pradesh,BICHUA,BICH,21,49,0.21982,21 49 0.219816329322405,79,1,57.73272,79 1 57.7327216356131,592.44653,Madhya Pradesh Geo-spatial Directorate,Trimble
50148A001,Karnataka,BIDER,BDER,17,56,17.54851,17 56 17.54851,77,28,34.90063,77 28 34.90063,578.4016,Karnataka Geo-spatial Directorate,Hexagon
50149A001,Bihar,BIHARSHARIF,BIHA,25,10,6.751859,25 10 6.75185895063521,85,31,2.285267,85 31 2.28526667731232,-2.886615,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50150A001,Assam,BIHUBOR,BIHU,26,49,59.30368341,26 49 59.303683407,94,48,15.76592878,94 48 15.765928779,51.291105,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50151A001,Chhattisgarh,BIJAPUR,BJPR,18,48,9.35171,18 48 9.35171,80,48,21.98091,80 48 21.98091,264.22625,Odisha & Chhattishgarh Geo-spatial Directorate,Trimble
50152A001,Madhya Pradesh,BIJAWAR,BIJA,24,38,21.33677,24 38 21.3367675018504,79,29,54.3002,79 29 54.3002029377479,290.82802,Madhya Pradesh Geo-spatial Directorate,Trimble
50153A001,Rajasthan,BIKAMPUR,BKPR,27,44,42.18451192,27 44 42.184511916967,72,8,48.8049014,72 8 48.8049014030916,115.8283813,Rajasthan Geo-spatial Directorate,Trimble
50154A001,Rajasthan,BIKANER,BIKA,28,3,22.29343462,28 3 22.293434622135,73,16,45.21759551,73 16 45.2175955064028,180.1580656,Rajasthan Geo-spatial Directorate,Trimble
50155A001,Rajasthan,BIKARNI,BKRN,24,31,54.56696342,24 31 54.5669634245196,73,10,54.19809912,73 10 54.198099119216,324.4839059,Rajasthan Geo-spatial Directorate,Trimble
50156A001,Rajasthan,BIKENDRI,BIKE,28,11,7.88313,28 11 7.88313,72,26,12.300209,72 26 12.300209,93.34029137,Rajasthan Geo-spatial Directorate,Trimble
50157A001,Uttarpradesh,BILASPUR,BILA,28,53,2.23191,28 53 2.2319109247825,79,15,34.53168,79 15 34.531683426776,137.9498,Uttar Pradesh Geo-spatial Directorate,Trimble
50158A001,Chhattisgarh,BILASPURCG,BLCG,22,5,30.06228,22 5 30.0622778449411,82,10,29.73224,82 10 29.7322435942787,222.18329,Odisha & Chhattishgarh Geo-spatial Directorate,Trimble
50159A001,Uttarpradesh,BILGRAM,BILG,27,11,16.63182,27 11 16.6318170457825,80,2,39.00187,80 2 39.001865386776,78.2687,Uttar Pradesh Geo-spatial Directorate,Trimble
50160A001,Mizoram,BILKHAWTHLIR,BILK,24,20,11.15713272,24 20 11.157132716,92,42,56.94945034,92 42 56.949450344,411.039945,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50161A001,Odisha,BINIKA,BINI,21,4,32.3476,21 4 32.3476015692784,83,48,26.63877,83 48 26.6387677769594,78.09105,Odisha & Chhattishgarh Geo-spatial Directorate,Hexagon
50162A001,Bihar,BIRAUL,BIRA,25,56,32.401494,25 56 32.4014941906025,86,15,9.000841,86 15 9.00084116393862,-10.664978,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50163A001,Bihar,BIRPUR,BIRP,26,29,48.079287,26 29 48.0792866341383,87,0,52.453157,87 0 52.4531572459776,16.959836,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50164A001,West Bengal,BISHNUPUR,BISH,23,3,11.91889,23 3 11.9188867165021,87,18,49.12383,87 18 49.1238308623091,26.00786,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50165A001,Gujarat,BODELI,BODE,22,16,30.00417,22 16 30.0041685910725,73,42,32.84732,73 42 32.84732068271,25.87569,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50166A001,Ladakh,BODHKHARBU,BODH,34,20,22.69455,34 20 22.6945477569121,76,33,54.47471,76 33 54.4747080630409,3467.19967,Jammu & Kashmir and Ladakh Geo-spatial Directorate,Hexagon
50167A001,Chhattisgarh,BODLA,BODL,22,9,38.57862,22 9 38.57862,81,13,29.56534,81 13 29.56534,324.40123,Odisha & Chhattishgarh Geo-spatial Directorate,Trimble
50168A001,Jharkhand,BOKARO,BORO,23,37,26.24204,23 37 26.2420392671037,86,10,25.77217,86 10 25.7721690424288,156.48127,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50169A001,West Bengal,BOLPUR,BOLP,23,39,51.75043,23 39 51.7504273430739,87,41,23.08489,87 41 23.0848899893195,1.27939,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50170A001,Assam,BORLENGRI,BORL,25,54,55.95049973,25 54 55.950499727,93,41,57.22986071,93 41 57.22986071,105.133406,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50171A001,Gujarat,BOTAD,BOTA,22,10,55.41937,22 10 55.4193719609873,71,40,50.73198,71 40 50.7319780433504,44.7892,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50172A001,Odisha,BRAHMAGIRI,GIRI,19,47,45.02927,19 47 45.02927136,85,38,40.31365,85 38 40.31365241,-55.87798,Odisha & Chhattishgarh Geo-spatial Directorate,Hexagon
50173A001,Rajasthan,BUDSU,BUDS,27,8,17.00785,27 8 17.007852,74,44,8.90181,74 44 8.901806,350.7381,Rajasthan Geo-spatial Directorate,Trimble
50174A001,Madhya Pradesh,BURHANPURNAGAR,BURH,21,18,20.90082,21 18 20.9008156207062,76,12,22.53308,76 12 22.5330818429782,185.61703,Madhya Pradesh Geo-spatial Directorate,Trimble
50175A001,Bihar,BUXAR,BUXA,25,33,35.495862,25 33 35.4958622254854,83,57,45.207904,83 57 45.2079035337265,1.687859,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50176A001,Andaman & Nicobar Islands,CAMPBELL BAY,CAMP,6,57,40.29618,6 57 40.2961832764131,93,55,13.21651,93 55 13.2165100414652,-35.28551,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50177A001,West Bengal,CANNING,CANN,22,18,46.5181,22 18 46.5181001130475,88,40,20.55992,88 40 20.559920152064,-50.51538,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50178A001,Andaman & Nicobar Islands,CAR NICOBAR,CARN,9,10,29.90337,9 10 29.9033707479136,92,49,3.31584,92 49 3.31583945089204,-47.43227,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50179A001,Bihar,CHAKIA,CHAK,26,24,53.452257,26 24 53.4522567213962,85,3,5.973403,85 3 5.97340306222042,-2.877839,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50180A001,Manipur,CHAKPIKARONG,CHKP,24,12,22.46696349,24 12 22.466963493,93,54,15.4932795,93 54 15.493279502,750.093921,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50181A001,Jharkhand,CHAKULIYA,CHYA,22,29,9.1118,22 29 9.11180128,86,42,21.12963,86 42 21.12963101,65.88471,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50182A001,Himachal Pradesh,CHAMBA,CHAM,32,33,39.33356,32 33 39.3335638728983,76,7,37.33033,76 7 37.3303314651893,853.11189,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50183A001,Madhya Pradesh,CHANCHODA,CHCH,24,10,51.35008,24 10 51.3500823067548,77,0,21.85029,77 0 21.8502917384482,396.55083,Madhya Pradesh Geo-spatial Directorate,Trimble
50184A001,Rajasthan,CHANDAN,CHDN,26,59,30.55734,26 59 30.557343,71,18,8.33682,71 18 8.336821,138.579,Rajasthan Geo-spatial Directorate,Trimble
50185A001,Uttarpradesh,CHANDAUSI,CHAN,28,27,34.2284,28 27 34.2283969957825,78,47,42.13324,78 47 42.133237276776,132.5148,Uttar Pradesh Geo-spatial Directorate,Trimble
50186A001,Rajasthan,CHANDAWAL,CDWL,25,59,57.99744,25 59 57.9974449411334,73,50,28.15692,73 50 28.1569174494361,249.6302,Rajasthan Geo-spatial Directorate,Trimble
50187A001,Chandigarh,CHANDIGARH,CHDG,30,42,51.12568,30 42 51.12567801,76,46,42.03142,76 46 42.03141818,287.4355,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50188A001,Jharkhand,CHANDWA,CHWA,23,40,5.65953,23 40 5.65953084470333,84,44,2.3202,84 44 2.32019951095647,471.8005,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50189A001,Arunanchal Pradesh,CHANGLANG,CHGL,27,8,13.4641372,27 8 13.4641372,95,44,29.63737976,95 44 29.637379762,402.394834,Meghalaya and Arunachal Pradesh Geo-spatial Directorate,Trimble
50190A001,Karnataka,CHANNAGIRI,CNGR,14,1,26.30846,14 1 26.30846,75,55,35.00076,75 55 35.00076,600.773,Karnataka Geo-spatial Directorate,Hexagon
50191A001,Assam,CHAPAKHOWA,CHPK,27,54,42.57730364,27 54 42.577303643,95,46,7.731950532,95 46 7.731950532,93.539688,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50192A001,Assam,CHAPAR,CHPR,26,16,32.19067662,26 16 32.190676622,90,26,43.44091047,90 26 43.440910473,-10.479527,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50193A001,Assam,CHARAIDEO,CHRD,27,1,44.62216551,27 1 44.62216551,95,1,36.7198196,95 1 36.7198196,52.360021,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50194A001,Nagaland,CHARE,CHRE,26,18,9.577152009,26 18 9.577152009,94,36,55.99655161,94 36 55.996551606,1024.141915,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50195A001,Telangana,CHARLA,CHAR,18,4,38.91881,18 4 38.9188089192112,80,49,54.1535,80 49 54.1534976181201,13.91622,AndhraPradesh &Telangana Geo-spatial Directorate,Trimble
50196A001,Jharkhand,CHATRA,CHAT,24,12,43.84638,24 12 43.8463770398774,84,51,24.68371,84 51 24.683713073221,373.02441,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50197A001,Odisha,CHATRAPUR,CPUR,19,21,13.20492,19 21 13.20491885,84,58,52.63653,84 58 52.63653363,-24.82552,Odisha & Chhattishgarh Geo-spatial Directorate,Hexagon
50198A001,Rajasthan,CHAU,CHAU,27,27,0.91831,27 27 0.918313,73,49,35.73686,73 49 35.736855,258.4475,Rajasthan Geo-spatial Directorate,Trimble
50199A001,Himachal Pradesh,CHAUPAL,CHPL,30,56,45.0302,30 56 45.0301980480017,77,36,5.08029,77 36 5.08029293527485,2002.51289,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50200A001,Tamilnadu,CHENNAI,CHNN,13,3,48.23934,13 3 48.2393399851197,80,16,52.20716,80 16 52.2071604437307,-61.75877,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50201A001,Kerla,CHERPULASSERY,CHER,10,52,36.77385,10 52 36.7738511221899,76,15,34.53914,76 15 34.539139829914,1.99454,Kerla & Lakshdweep Wing,Hexagon
50202A001,Meghalaya,CHERRAPUNJI,CHER,25,16,6.869323856,25 16 6.869323856,91,44,7.332489352,91 44 7.332489352,1246.782474,Meghalaya and Arunachal Pradesh Geo-spatial Directorate,Trimble
50203A001,Nagaland,CHETHEBA,CHET,25,39,54.72058218,25 39 54.72058218,94,15,24.8860599,94 15 24.886059903,1572.093816,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50204A001,Tamilnadu,CHEYYAR,CYAR,12,40,0.52776,12 40 0.527764597505993,79,32,27.23217,79 32 27.2321749619338,13.95407,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50205A001,Tamilnadu,CHEYYUR,CHEY,12,21,7.82657,12 21 7.8265714286933,79,59,58.0492,79 59 58.049196440408,-72.72863,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50206A001,West Bengal,CHHATNA,CHHA,23,19,16.58605,23 19 16.5860472734431,86,58,31.52218,86 58 31.5221814144005,81.17866,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50207A001,Uttarpradesh,CHIBRAMAU,CHIB,27,8,22.56541609,27 8 22.5654160934084,79,29,57.49218404,79 29 57.4921840368976,87.37983152,Uttar Pradesh Geo-spatial Directorate,Trimble
50208A001,Andaman & Nicobar Islands,CHIDIYA TAPU,CHID,11,30,8.83712,11 30 8.83711869717725,92,42,3.31057,92 42 3.31056750527119,-53.95918,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50209A001,Manipur,CHINGAI,CHNG,25,18,42.84381947,25 18 42.843819469,94,30,26.75398916,94 30 26.753989161,1404.092734,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50210A001,Telangana,CHINNACHINTAKUNTA,CHNN,16,27,7.17688,16 27 7.17688103795147,77,48,32.66451,77 48 32.6645147377157,255.4626,AndhraPradesh &Telangana Geo-spatial Directorate,Trimble
50211A001,Telangana,CHINTHAPALLY,CHIN,16,48,23.94815,16 48 23.9481472101543,78,49,23.9871,78 49 23.9871023818698,284.81847,AndhraPradesh &Telangana Geo-spatial Directorate,Trimble
50212A001,Rajasthan,CHIPPABAROD,CHIP,24,38,53.87033924,24 38 53.8703392399953,76,42,56.69780982,76 42 56.6978098150531,277.1527857,Rajasthan Geo-spatial Directorate,Trimble
50213A001,Chhattisgarh,CHIRMIRI,CHRM,23,10,25.59752,23 10 25.59752,82,22,23.81123,82 22 23.81123,582.44138,Odisha & Chhattishgarh Geo-spatial Directorate,Trimble
50214A001,Jharkhand,CHITARPUR,CHIT,23,35,46.7578,23 35 46.7578003181204,85,39,24.00498,85 39 24.0049752273538,273.5363,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50215A001,Rajasthan,CHITTAKAPAR,CHKR,25,56,14.66835,25 56 14.668347,71,35,18.2087,71 35 18.2087,110.839,Rajasthan Geo-spatial Directorate,Trimble
50216A001,Rajasthan,CHITTORGARH,CHIT,24,52,42.91715,24 52 42.9171504162856,74,36,29.2728,74 36 29.2728033709288,353.4,Rajasthan Geo-spatial Directorate,Trimble
50217A001,Kerla,CHITTUR,CTUR,10,37,1.56423,10 37 1.56422634707497,76,48,0.71306,76 48 0.713060333644263,70.77297,Kerla & Lakshdweep Wing,Hexagon
50218A001,Gujarat,CHOTILA,CHOL,22,25,14.44596,22 25 14.4459610137036,71,11,20.15864,71 11 20.1586429557828,143.46492,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50219A001,Kerla,CHUNDEL,CDEL,11,34,46.69675,11 34 46.6967499523052,76,4,12.95389,76 4 12.9538885683477,779.33673,Kerla & Lakshdweep Wing,Hexagon
50220A001,Goa,CONCONA,CONC,15,0,29.95562,15 0 29.9556163572649,74,3,27.77702,74 3 27.7770198768943,-47.39208,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50221A001,West Bengal,CONTIA,CONT,21,46,33.454,21 46 33.4540022628725,87,45,0.23852,87 45 0.238519529025668,-52.11375,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50223A001,Maharashtra,DAHANU PALGHAR,DAPR,19,54,26.70853,19 54 26.70853,72,57,16.36871,72 57 16.36871,-5.6184,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50224A001,Gujarat,DAHEJ,DHEJ,21,43,4.25055,21 43 4.2505510741534,72,35,6.29813,72 35 6.29812827748104,-50.70999,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50225A001,Gujarat,DAHOD,DAHO,22,52,35.87853,22 52 35.878532060939,74,13,59.54015,74 13 59.5401527512459,263.33285,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50226A001,Madhya Pradesh,DALOD,DALO,23,56,27.54135031,23 56 27.54135031,75,6,8.601005888,75 6 8.601005888,419.4829413,Madhya Pradesh Geo-spatial Directorate,Trimble
50227A001,Rajasthan,DANGRI,DANG,26,32,46.2382,26 32 46.238195,71,23,4.67965,71 23 4.679654,266.3191,Rajasthan Geo-spatial Directorate,Trimble
50228A001,Maharashtra,DAPOLI,DAPO,17,45,57.81872,17 45 57.81872,73,10,31.48636,73 10 31.48636,86.4597,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50229A001,Arunanchal Pradesh,DAPORIJO,DAPO,27,59,27.97365764,27 59 27.973657644,94,13,6.548499404,94 13 6.548499404,249.370108,Meghalaya and Arunachal Pradesh Geo-spatial Directorate,Trimble
50230A001,West Bengal,DARJEELING,DARJ,27,1,48.89644,27 1 48.896442031521,88,15,34.97507,88 15 34.9750709582933,2146.31032,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50231A001,Odisha,DARPAN,DARP,20,41,8.99152,20 41 8.99151753245027,86,6,48.15923,86 6 48.1592302404059,-28.36422,Odisha & Chhattishgarh Geo-spatial Directorate,Hexagon
50232A001,Tripura,DASDA,DASD,23,56,46.55456619,23 56 46.554566189,92,12,29.22035929,92 12 29.220359291,13.090102,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50233A001,Odisha,DASMANTHPUR,DAUR,19,2,59.11891,19 2 59.11890529,82,54,46.89857,82 54 46.89856973,711.29839,Odisha & Chhattishgarh Geo-spatial Directorate,Hexagon
50234A001,Bihar,DAUDNAGAR,DAUD,25,2,5.150937,25 2 5.15093727131753,84,23,59.16442,84 23 59.1644196271355,38.350749,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50235A001,Maharashtra,DAUND,DAUD,18,28,3.51687,18 28 3.51687,74,34,11.56038,74 34 11.56038,442.8166,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50236A001,Rajasthan,DAUSA,DAUS,26,53,46.56867003,26 53 46.5686700342474,76,20,10.68907398,76 20 10.6890739842781,290.1924094,Rajasthan Geo-spatial Directorate,Trimble
50237A001,Goa,DAYANADNAGAR,DAAR,15,23,47.22442,15 23 47.2244151752057,74,5,45.64653,74 5 45.646534355731,-32.48324,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50238A001,Gujarat,DAYAPAR,DPAR,23,37,55.26554,23 37 55.2655394292732,68,54,6.38488,68 54 6.38487875381228,55.12449,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50239A001,West Bengal,DEBAGRAM,DEBA,23,42,26.4018,23 42 26.4018022590171,88,17,38.414,88 17 38.4140004006569,-38.08627,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50240A001,Rajasthan,DEGANAGAON,DEGA,26,51,8.520028753,26 51 8.52002875273688,74,19,52.48954672,74 19 52.4895467228423,298.0285529,Rajasthan Geo-spatial Directorate,Trimble
50241A001,Maharashtra,DEGLOOR NANDED,DEND,18,32,29.17647,18 32 29.17647,77,35,21.48672,77 35 21.48672,299.743,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50242A001,Uttarakhand,DEHRADUN,DEHD,30,19,28.36343,30 19 28.3634333847269,78,3,16.7458,78 3 16.745796189529,648.6222,Uttarakhand  Geo-spatial Directorate,Trimble
50243A001,Delhi,DELHIPALAM,DELH,28,34,50.23189,28 34 50.2318931731688,77,5,25.951991,77 5 25.9519910533724,168.8799701,Delhi Geo-spatial and International Boundary Directorate,Trimble
50244A001,Maharashtra,DEOGAON,DGAB,20,1,41.26244,20 1 41.26244,75,1,37.0626,75 1 37.0626,466.3642,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50245A001,Jharkhand,DEOGHAR,DHAR,24,29,57.59597,24 29 57.5959676384664,86,38,54.87624,86 38 54.8762415348658,205.91932,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50246A001,Maharashtra,DEOLI,DEOL,20,39,11.81039,20 39 11.81039,78,29,29.60048,78 29 29.60048,199.3725,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50247A001,Madhya Pradesh,DEORI,DEOR,23,23,40.83062,23 23 40.830623139476,79,1,18.67965,79 1 18.6796492540103,370.86529,Madhya Pradesh Geo-spatial Directorate,Trimble
50248A001,Assam,DHAKUAKHANA,DHAK,27,12,10.11436071,27 12 10.114360714,94,26,24.94621008,94 26 24.946210077,35.916867,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50249A001,Odisha,DHAMARA,DHAA,20,47,42.28932,20 47 42.2893217093281,86,54,2.14458,86 54 2.14458457850837,-55.4779,Odisha & Chhattishgarh Geo-spatial Directorate,Hexagon
50250A001,Maharashtra,DHAN,DHAN,20,16,25.45191,20 16 25.45191,80,18,32.50111,80 18 32.50111,176.4863,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50251A001,Jharkhand,DHANBAD,DBAD,23,47,38.00972,23 47 38.0097228547817,86,26,31.74445,86 26 31.7444464268695,189.25576,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50252A001,Gujarat,DHANDHUKA,DHKA,22,22,30.78271,22 22 30.7827066740521,71,58,38.58372,71 58 38.5837247916791,-32.20433,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50253A001,Madhya Pradesh,DHAR,DHHR,22,36,36.06634,22 36 36.066336,75,18,51.30327,75 18 51.303269,519.9569,Madhya Pradesh Geo-spatial Directorate,Trimble
50254A001,Tripura,DHARAMNAGAR,DHRM,24,22,15.03842879,24 22 15.038428786,92,9,29.98386009,92 9 29.983860086,-25.654138,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50255A001,Gujarat,DHARAMPUR,DHAM,21,38,56.96913,21 38 56.9691307222002,69,40,48.81231,69 40 48.8123066469909,-43.26303,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50256A001,Andaman & Nicobar Islands,DHARMAPUR,DHPR,12,37,47.88553,12 37 47.8855297,92,54,13.30413,92 54 13.30412542,-46.9484,"Tamilnadu, Pondicherry and Andaman & Nicobar Island Geo-spatial Directorate",Hexagon
50257A001,Himachal Pradesh,DHARMSHALA,DHAR,32,12,2.97486,32 12 2.97486,76,19,25.59316,76 19 25.59316,1155.01,"Punjab, Haryana, Himachal Pardesh  & Chandigarh, Geo-spatial Directorate",Trimble
50258A001,Madhya Pradesh,DHEMARKEDA,DHEM,23,28,27.58589,23 28 27.58589283,80,22,35.66579,80 22 35.66579389,357.93638,Madhya Pradesh Geo-spatial Directorate,Trimble
50259A001,Odisha,DHENKANAL,DHAL,20,39,20.83785,20 39 20.83785285,85,35,53.94015,85 35 53.94015208,19.57543,Odisha & Chhattishgarh Geo-spatial Directorate,Hexagon
50260A001,Maharashtra,DHOLEGAON,DHGN,20,5,16.25758,20 5 16.25758,76,10,50.71329,76 10 50.71329,461.8265,Maharashtra and Goa Geo-spatial Directorate,Hexagon
50261A001,Gujarat,DHOLKA,DHOL,22,44,5.38857,22 44 5.38857468681429,72,26,8.76248,72 26 8.76247620016585,-30.39828,Gujarat Daman & Diu Geo-spatial Directorate,Hexagon
50262A001,West Bengal,DIAMONDH,DIAM,22,11,46.78922,22 11 46.7892215204569,88,10,35.35555,88 10 35.3555487904115,-49.80598,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50263A001,Assam,DIBRUGARH,DIBR,27,29,6.403526216,27 29 6.403526216,94,54,38.91486204,94 54 38.914862036,51.945974,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50264A001,Bihar,DIGHALBANK,DIGH,26,22,33.011068,26 22 33.0110677889215,87,50,39.563232,87 50 39.5632321390021,10.309915,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50265A001,West Bengal,DINHATA,DINH,26,7,23.19276,26 7 23.1927560458521,89,29,19.75205,89 29 19.7520509610118,-14.38961,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50266A001,Arunanchal Pradesh,DIRANG,DIRA,27,21,33.77623501,27 21 33.776235007,92,14,44.71331104,92 14 44.713311042,1546.932679,Meghalaya and Arunachal Pradesh Geo-spatial Directorate,Trimble
50267A001,Rajasthan,DOBHI,DOBH,29,3,52.90386874,29 3 52.9038687364874,75,12,50.70613485,75 12 50.7061348462699,156.5510499,Rajasthan Geo-spatial Directorate,Trimble
50268A001,Jammu & Kashmir,DODA,DODA,33,8,39.18787,33 8 39.1878721616422,75,33,12.63149,75 33 12.6314948518918,1080.52267,Jammu & Kashmir and Ladakh Geo-spatial Directorate,Hexagon
50269A001,Assam,DONKAMUKAM,DONK,25,55,59.5379625,25 55 59.537962503,92,42,2.33572843,92 42 2.33572843,27.267732,Assam & Nagaland and TMMz Geo-Spatial Directorate,Trimble
50270A001,Rajasthan,DOONI,DOON,25,53,10.19108369,25 53 10.1910836896764,75,35,45.97604566,75 35 45.9760456558708,255.0298056,Rajasthan Geo-spatial Directorate,Trimble
50271A001,Jammu & Kashmir,DOORU,DORU,33,34,10.62911,33 34 10.6291124437201,75,13,26.56542,75 13 26.565415127582,1760.55439,Jammu & Kashmir and Ladakh Geo-spatial Directorate,Hexagon
50272A001,Rajasthan,DUDHABERI,DUDB,25,57,38.39352,25 57 38.393516,71,2,42.3212,71 2 42.321204,198.125,Rajasthan Geo-spatial Directorate,Trimble
50273A001,Uttarpradesh,DUDHI,DUDH,24,12,45.296761,24 12 45.296761000535,83,14,28.378938,83 14 28.378938051782,195.964735,Uttar Pradesh Geo-spatial Directorate,Trimble
50274A001,Rajasthan,DUDHITALAI,DHTL,24,26,42.62498,24 26 42.62498,74,35,55.07381,74 35 55.07381,452.999,Rajasthan Geo-spatial Directorate,Trimble
50275A001,Bihar,DUMARIYA,DUMA,24,27,53.153563,24 27 53.1535631991053,84,29,2.515164,84 29 2.51516358144419,153.66609,Jharkhand & Bihar  Geo-spatial Directorate,Trimble
50276A001,Jharkhand,DUMKA,DMKA,24,16,55.65182,24 16 55.6518172985943,87,15,50.81598,87 15 50.8159756159811,112.55407,Jharkhand & Bihar  Geo-spatial Directorate,Hexagon
50277A001,West Bengal,DURGAPUR,DURG,23,29,39.70185,23 29 39.7018467037676,87,17,45.62172,87 17 45.6217163840123,22.90628,West Bengal & Sikkim Geo-spatial Directorate,Hexagon
50278A001,Uttarpradesh,ETAWAH,ETAW,26,46,18.62891,26 46 18.6289128657825,79,1,19.54469,79 1 19.544687046776,91.8297,Uttar Pradesh Geo-spatial Directorate,Trimble
50279A001,Telangana,ETURANAGARAM,ERGM,18,19,31.81316,18 19 31.8131621978262,80,24,43.86931,80 24 43.869313852372,21.00608,AndhraPradesh &Telangana Geo-spatial Directorate,Trimble
